surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Jigawa,267,1,Control,1120,4,.3333333333333333,instructs / presents / dictates,Hausa,moves around among students,group or pair work,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,instructs / presents / dictates,Teacher was silent,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,group or pair work,Explains,Hausa,moves around among students,group or pair work,closed question / response,Hausa,demonstrates / displays work,group or pair work,chants,English,writes on / reads from blackboard,group or pair work,open question / response,Hausa,demonstrates / displays work,group or pair work,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,No,28,A,BCDE,,,a,1,No,8,1,36,30.55555534362793
Round 1 Baseline,Jigawa,267,2,Control,1120,4,.3333333333333333,instructs / presents / dictates,English,demonstrates / displays work,group or pair work,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,Explains,Hausa,demonstrates / displays work,group or pair work,Explains,Hausa,moves around among students,group or pair work,Explains,English,moves around among students,group or pair work,Explains,Hausa,moves around among students,group or pair work,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,moves around among students,group or pair work,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,moves around among students,group or pair work,None of the above,Teacher was silent,None of the above,None of the above,No,13,A,ABC,,,c,3,No,,6,36,43.0555534362793
Round 1 Baseline,Jigawa,267,4,Control,1120,4,.3333333333333333,instructs / presents / dictates,English,demonstrates / displays work,group or pair work,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,group or pair work,instructs / presents / dictates,English,writes on / reads from blackboard,group or pair work,closed question / response,Hausa,moves around among students,group or pair work,closed question / response,English,moves around among students,group discussion / presentation,Explains,English,moves around among students,group or pair work,assists / group discussion,Teacher was silent,None of the above,individual work,instructs / presents / dictates,Hausa,demonstrates / displays work,group or pair work,Explains,Hausa,demonstrates / displays work,group or pair work,assists / group discussion,Teacher was silent,uses materials (printed/improvised),group or pair work,assists / group discussion,Teacher was silent,moves around among students,group or pair work,assists / group discussion,Teacher was silent,moves around among students,group or pair work,No,13,D,BCE,,,f,2,No,11,,36,48.61111068725586
Round 1 Baseline,Jigawa,268,1,Control,1120,3,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,instructs / presents / dictates,English,uses materials (printed/improvised),individual work,Explains,Hausa,uses materials (printed/improvised),respond to closed question,None of the above,Teacher was silent,uses materials (printed/improvised),respond to open question,Explains,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Yes,30,,BCD,,,c,1,No,10,,36,26.38888931274414
Round 1 Baseline,Jigawa,268,2,Control,1120,3,.3333333333333333,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),individual work,closed question / response,Hausa,moves around among students,respond to open question,closed question / response,Hausa,uses materials (printed/improvised),respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,uses materials (printed/improvised),group or pair work,None of the above,Teacher was silent,moves around among students,group discussion / presentation,None of the above,Teacher was silent,moves around among students,group discussion / presentation,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),respond to closed question,Yes,29,,BCEF,,,c,2,No,34,2,36,23.61111068725586
Round 1 Baseline,Jigawa,268,3,Control,1120,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,uses materials (printed/improvised),None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,moves around among students,group or pair work,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,Yes,29,,ABC,,,c,3,No,2,5,36,25
Round 1 Baseline,Jigawa,268,4,Control,1120,3,.3333333333333333,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,None of the above,Teacher was silent,moves around among students,None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),individual work,Explains,Hausa,uses materials (printed/improvised),None of the above,None of the above,Teacher was silent,moves around among students,group or pair work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),individual work,None of the above,Teacher was silent,uses materials (printed/improvised),individual work,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,uses materials (printed/improvised),None of the above,Yes,23,,BCDE,,,c,4,No,18,,36,19.44444465637207
Round 1 Baseline,Jigawa,269,1,Control,1120,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,open question / response,Hausa,None of the above,None of the above,,,,,,,,,,,,,,,,,,8,D,BC,,,f,3,No,1,,24,8.333333969116211
Round 1 Baseline,Jigawa,269,2,Control,1120,3,.3333333333333333,instructs / presents / dictates,Hausa,None of the above,None of the above,closed question / response,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,uses materials (printed/improvised),None of the above,closed question / response,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,,,,,,,,,,,14,D,ABCE,,,c,2,No,2,,30,1.666666746139526
Round 1 Baseline,Jigawa,269,3,Control,1120,3,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,19,D,ABC,,,e,4,No,3,,24,8.333333969116211
